automated_decisions_or_profiling,fides_key,is_default,name,organization_fides_key,replaced_by,rights,tags,version_added,version_deprecated,parent_key,description
,data_subject,,Data Subject,,,,,,,,
,anonymous_user,True,Anonymous User,default_organization,,,,2.0.0,,data_subject,An individual that is unidentifiable to the systems. Note - This should only be applied to truly anonymous users where there is no risk of re-identification
,citizen_voter,True,Citizen Voter,default_organization,,,,2.0.0,,data_subject,An individual registered to voter with a state or authority.
,commuter,True,Commuter,default_organization,,,,2.0.0,,data_subject,An individual that is traveling or transiting in the context of location tracking.
,consultant,True,Consultant,default_organization,,,,2.0.0,,data_subject,An individual employed in a consultative/temporary capacity by the organization.
,customer,True,Customer,default_organization,,,,2.0.0,,data_subject,An individual or other organization that purchases goods or services from the organization.
,employee,True,Employee,default_organization,,,,2.0.0,,data_subject,An individual employed by the organization.
,job_applicant,True,Job Applicant,default_organization,,,,2.0.0,,data_subject,An individual applying for employment to the organization.
,next_of_kin,True,Next of Kin,default_organization,,,,2.0.0,,data_subject,A relative of any other individual subject where such a relationship is known.
,passenger,True,Passenger,default_organization,,,,2.0.0,,data_subject,An individual traveling on some means of provided transport.
,patient,True,Patient,default_organization,,,,2.0.0,,data_subject,An individual identified for the purposes of any medical care.
,prospect,True,Prospect,default_organization,,,,2.0.0,,data_subject,An individual or organization to whom an organization is selling goods or services.
,shareholder,True,Shareholder,default_organization,,,,2.0.0,,data_subject,An individual or organization that holds equity in the organization.
,supplier_vendor,True,Supplier/Vendor,default_organization,,,,2.0.0,,data_subject,An individual or organization that provides services or goods to the organization.
,trainee,True,Trainee,default_organization,,,,2.0.0,,data_subject,An individual undergoing training by the organization.
,visitor,True,Visitor,default_organization,,,,2.0.0,,data_subject,An individual visiting a location.
